LINESTRINGFROMTEXT;LINESTRINGFROMTEXT
LINESTRINGFROMWKB;LINESTRINGFROMWKB
LOAD;LOAD
LOCAL;LOCAL
LOCK;LOCK
LOGFILE;LOGFILE
LOGS;LOGS
LONG;LONG
LONGBINARY;LONGBINARY
LOOP;LOOP
LOW_PRIORITY;LOW_PRIORITY
MASTER;MASTER
MASTER_BIND;MASTER_BIND
MASTER_CONNECT_RETRY;MASTER_CONNECT_RETRY
MASTER_HEARTBEAT_PERIOD;MASTER_HEARTBEAT_PERIOD
MASTER_HOST;MASTER_HOST
MASTER_LOG_FILE;MASTER_LOG_FILE
MASTER_LOG_POS;MASTER_LOG_POS
MASTER_PASSWORD;MASTER_PASSWORD
MASTER_PORT;MASTER_PORT
MASTER_SSL;MASTER_SSL
MASTER_SSL_CA;MASTER_SSL_CA
MASTER_SSL_CERT;MASTER_SSL_CERT
MASTER_SSL_CIPHER;MASTER_SSL_CIPHER
MASTER_SSL_KEY;MASTER_SSL_KEY
MASTER_SSL_VERIFY_SERVER_CERT;MASTER_SSL_VERIFY_SERVER_CERT
MASTER_USER;MASTER_USER
MATCH;MATCH
MAX_CONNECTIONS_PER_HOUR;MAX_CONNECTIONS_PER_HOUR
MAX_QUERIES_PER_HOUR;MAX_QUERIES_PER_HOUR
MAX_ROWS;MAX_ROWS
MAX_SIZE;MAX_SIZE
MAX_UPDATES_PER_HOUR;MAX_UPDATES_PER_HOUR
MAX_USER_CONNECTIONS;MAX_USER_CONNECTIONS
MEDIUM;MEDIUM
MEMORY;MEMORY
MERGE;MERGE
MIDDLEINT;MIDDLEINT
MIN_ROWS;MIN_ROWS
MINUTE;MINUTE
MINUTE_SECOND;MINUTE_SECOND
MOD;MOD
MODE;MODE
MODIFY;MODIFY
MONTH;MONTH
MRG_MYISAM;MRG_MYISAM
MULTILINESTRINGFROMTEXT;MULTILINESTRINGFROMTEXT
MULTILINESTRINGFROMWKB;MULTILINESTRINGFROMWKB
MULTIPOINTFROMTEXT;MULTIPOINTFROMTEXT
MULTIPOINTFROMWKB;MULTIPOINTFROMWKB
MULTIPOLYGONFROMTEXT;MULTIPOLYGONFROMTEXT
MULTIPOLYGONFROMWKB;MULTIPOLYGONFROMWKB
MUTEX;MUTEX
MYISAM;MYISAM
NAME;NAME
NATIONAL;NATIONAL
NATURAL;NATURAL
NCHAR;NCHAR
NDB;NDB
NDBCLUSTER;NDBCLUSTER
NEXT;NEXT
NO;NO
NO_WRITE_TO_BINLOG;NO_WRITE_TO_BINLOG
NODEGROUP;NODEGROUP
NONE;NONE
NOT;NOT
NULL;NULL
NUMERIC;NUMERIC
NVARCHAR;NVARCHAR
OFFLINE;OFFLINE
OFFSET;OFFSET
ON;ON
ONLINE;ONLINE
OPEN;OPEN
OPTIMIZE;OPTIMIZE
OPTION;OPTION
OPTIONALLY;OPTIONALLY
OPTIONS;OPTIONS
OR;OR
ORDER;ORDER
OUTER;OUTER
OUTFILE;OUTFILE
OWNER;OWNER
PACK_KEYS;PACK_KEYS
PARSER;PARSER
PARTIAL;PARTIAL
PARTITION;PARTITION
PARTITIONS;PARTITIONS
PASSWORD;PASSWORD
PLUGIN;PLUGIN
PLUGINS;PLUGINS
POLYGONFROMTEXT;POLYGONFROMTEXT
POLYGONFROMWKB;POLYGONFROMWKB
PORT;PORT
POW;POW
POWER;POWER
PRECISION;PRECISION
PREPARE;PREPARE
PRESERVE;PRESERVE
PREV;PREV
PRIMARY;PRIMARY
PRIVILEGES;PRIVILEGES
PROCEDURE;PROCEDURE
PROCESS;PROCESS
PROCESSLIST;PROCESSLIST
PROFILE;PROFILE
PROFILES;PROFILES
PURGE;PURGE
QUERY;QUERY
QUICK;QUICK
READ;READ
REAL;REAL
REBUILD;REBUILD
REDUNDANT;REDUNDANT
REFERENCES;REFERENCES
RELAY_LOG_FILE;RELAY_LOG_FILE
